acqf,trial,iteration,best_f,sum_c_x,cum_costs,eta
EEIPU,2,0,0.014865761143964182,42.70845365524292,42.70845365524292,1.8696614432930947
EEIPU,2,0,0.009433855953241773,47.761974811553955,"tensor(47.7620, device='cuda:0', dtype=torch.float64)",1.8690297531485558
EEIPU,2,1,0.011001399196545539,38.8560266494751,"tensor(86.6180, device='cuda:0', dtype=torch.float64)",1.8641727498173715
EEIPU,2,2,0.011001399196545539,36.211182832717896,"tensor(122.8292, device='cuda:0', dtype=torch.float64)",1.8596463519632815
