acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EEIPU,3,2,-33.77311360112274,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 83.08809126220743}",83.28809126518766,5875.607500639121,0.9025
EIPU-MEMO,4,2,-2774.727395133767,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 83.7678443059788}",83.96784430895903,4974.949340052686,0.9025
EI,3,12,-15.18794013219685,"{'0': 227.23340345285783, '1': 79.50477629157697, '2': 89.86290875844558}",396.6010885028804,11614.940843625813,0.5403600876626365
EEIPU,1,2,-239.0461322298945,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 84.60622221179511}",84.80622221477535,7697.101812973138,0.9025
EI,2,14,-39.30090056899283,"{'0': 198.73731561612726, '1': 73.04584730269471, '2': 89.933600153333}",361.716763072155,8534.728014407488,0.48767497911552943
EI,5,12,-34.534778427875096,"{'0': 593.3626901384466, '1': 95.14282668073189, '2': 84.72898215511741}",773.2344989742959,10145.15009497281,0.5403600876626365
EI,4,11,-353.84956451790777,"{'0': 284.6173690382921, '1': 86.6674546499504, '2': 88.52795114103571}",459.8127748292782,9841.761658169165,0.5688000922764596
EI,1,13,-96.53685439140887,"{'0': 256.08133551791536, '1': 67.11995967963263, '2': 89.90684592604156}",413.1081411235896,18004.92497397188,0.5133420832795047
EI,3,13,-15.18794013219685,"{'0': 142.99357151029463, '1': 90.40305277195208, '2': 82.83275616598947}",316.22938044823616,11931.170224074049,0.5133420832795047
EIPU,5,5,-99.94641492722327,"{'0': 200.9777216929052, '1': 94.43126267989177, '2': 89.95927365242078}",385.36825802521776,6337.411513857702,0.7737809374999999
EI,5,13,-34.534778427875096,"{'0': 174.87407725275074, '1': 95.07589682873511, '2': 89.41307140086153}",359.3630454823474,10504.513140455158,0.5133420832795047
EI,1,14,-96.53685439140887,"{'0': 627.4122854731911, '1': 76.64350096794955, '2': 89.27603525631613}",793.3318216974568,18798.25679566934,0.48767497911552943
EI,2,15,-39.30090056899283,"{'0': 224.52829581114457, '1': 62.45119759155062, '2': 89.81387967744969}",376.7933730801449,8911.521387487634,0.46329123015975293
EIPU,2,6,-38.127478733883656,"{'0': 142.81803365228535, '1': 85.18609223753873, '2': 76.28351680059325}",304.28764269041733,5683.843887185935,0.7350918906249998
EIPU,1,3,-159.00035125585592,"{'0': 142.0843901596914, '1': 66.61794815314829, '2': 88.9782442264025}",297.6805825392422,8199.387819842801,0.8573749999999999
EI,4,12,-353.84956451790777,"{'0': 259.9933239874109, '1': 88.41485431389528, '2': 88.0904745412627}",436.49865284256884,10278.260311011734,0.5403600876626365
EI,3,14,-15.18794013219685,"{'0': 303.11273217434405, '1': 90.40245917250738, '2': 89.96401324012729}",483.47920458697877,12414.649428661027,0.48767497911552943
EEIPU,2,3,-93.96244465536232,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 71.28647223953742}",71.48647224251765,4306.639266249423,0.8573749999999999
