acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,4,5,-7.881485088803577,"{'0': 139.99984637262565, '1': 74.0734151990709, '2': 43.54070029381341}",257.61396186550996,4461.180740995293,0.7737809374999999
EI,1,5,-10.811828527318262,"{'0': 141.58685375153706, '1': 55.61270637664408, '2': 71.08856655032223}",268.2881266785034,4215.267955203866,0.7737809374999999
EIPU-MEMO,4,1,-9.483280555995599,"{'0': 141.8405969926142, '1': 73.45795185228998, '2': 50.17074176967594}",265.46929061458013,3337.4493531209055,0.95
EIPU,4,1,-9.483280555995599,"{'0': 141.8405969926142, '1': 73.45795185228998, '2': 50.17074176967594}",265.46929061458013,3337.4493531209055,0.95
EI,3,7,-5.844737045347468,"{'0': 144.53186545722681, '1': 76.19926453586348, '2': 39.60149472009357}",260.33262471318386,4798.713973120999,0.6983372960937497
EI,5,7,-5.176395605852209,"{'0': 140.78899208511893, '1': 55.7934315460906, '2': 74.31480581986449}",270.89722945107405,4643.852849884825,0.6983372960937497
EIPU-MEMO,2,2,-8.901385957096293,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.40019761809522}",50.60019762107545,3087.85864137816,0.9025
EIPU-MEMO,3,2,-8.493956318752081,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 35.59514502092428}",35.79514502390451,3259.9078949225423,0.9025
EIPU,5,2,-4.9328099160097185,"{'0': 140.88867696506043, '1': 67.55149127686111, '2': 74.89390896804206}",283.3340772099636,3221.2766697538755,0.9025
EIPU,3,3,-4.962069014387737,"{'0': 142.52705030278787, '1': 81.0064545991325, '2': 40.75476613438712}",264.2882710363075,3753.1493447205908,0.8573749999999999
EEIPU,3,2,-8.493956318752081,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 35.59514317679194}",35.795143179772175,3263.9448536687805,0.9025
EI,4,6,-7.881485088803577,"{'0': 140.00006661314703, '1': 73.4563132999572, '2': 43.41797300405813}",256.87435291716235,4718.055093912455,0.7350918906249998
EEIPU,2,2,-8.7426638941418,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.61832239890071}",50.81832240188094,3088.4470976651505,0.9025
EI,2,6,-8.418195390432205,"{'0': 142.37546607185692, '1': 86.3655648499319, '2': 67.74054184397026}",296.4815727657591,4518.3837510859685,0.7350918906249998
EI,3,8,-5.844737045347468,"{'0': 150.55993048165368, '1': 82.76285397804898, '2': 35.595146898931816}",268.91793135863446,5067.631904479634,0.6634204312890623
EIPU,2,3,-7.667243984756784,"{'0': 145.777733855667, '1': 74.03026092084062, '2': 66.04807695254468}",285.8560717290523,3617.440571720795,0.8573749999999999
EI,1,6,-7.76664889313833,"{'0': 142.1643638211274, '1': 63.43801119712565, '2': 77.35913042838345}",282.96150544663647,4498.229460650503,0.7350918906249998
EI,5,8,-4.58259906697149,"{'0': 140.30285485769554, '1': 67.71077786047086, '2': 72.92303101595438}",280.93666373412077,4924.789513618946,0.6634204312890623
EI,4,7,-7.866910391552987,"{'0': 140.00004866568787, '1': 84.16706017132344, '2': 45.70600684613594}",269.87311568314726,4987.928209595602,0.6983372960937497
EI,3,9,-5.2325038405412645,"{'0': 138.94685226372297, '1': 88.10508831418298, '2': 35.59522947040608}",262.64717004831203,5330.279074527945,0.6302494097246091
EI,2,7,-8.418195390432205,"{'0': 148.10938302414132, '1': 91.7181921143042, '2': 58.95537492235374}",298.7829500607993,4817.166701146768,0.6983372960937497
EEIPU,4,2,-9.53356128793903,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 43.14820885531854}",43.348208858298776,3386.224930856192,0.9025
EIPU,4,2,-9.483280555995599,"{'0': 146.56207525739296, '1': 73.07014568134655, '2': 57.68011259960827}",277.3123335383478,3614.7616866592534,0.9025
EI,5,9,-4.58259906697149,"{'0': 141.5102856999301, '1': 72.7013938032728, '2': 74.89180544787152}",289.1034849510744,5213.892998570021,0.6302494097246091
EI,3,10,-5.2325038405412645,"{'0': 142.59038481491183, '1': 85.24079703503078, '2': 35.59516780120275}",263.42634965114536,5593.705424179091,0.5987369392383786
