acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,4,8,1.4936114133032419,"{'0': 146.80160513304423, '1': 79.8466193242047, '2': 65.70096882746105}",292.34919328471,5167.218005987132,0.6634204312890623
EIPU,3,4,-0.061698871149519,"{'0': 174.84726849810943, '1': 74.02954232474133, '2': 86.03667404086491}",334.91348486371567,4310.919661011425,0.8145062499999999
EIPU,5,2,-2.3667177503411727,"{'0': 169.64760425737435, '1': 88.88029273084592, '2': 85.47521837093194}",344.0031153591522,3639.790367363265,0.9025
EI,2,8,-1.040629412620349,"{'0': 174.43370167347982, '1': 54.185230369033484, '2': 63.136661383713665}",291.755593426227,5385.850526272369,0.6634204312890623
EEIPU,2,2,-0.24714235469727253,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 65.01754948971629}",65.21754949269652,3365.9809585154658,0.9025
EI,3,10,-1.106321186110181,"{'0': 164.59728736736596, '1': 64.36198313208706, '2': 88.64722845378145}",317.60649895323445,6266.7199496404555,0.5987369392383786
EI,5,7,0.8588295925809741,"{'0': 170.22582414097704, '1': 88.17466374424397, '2': 64.80412222405361}",323.20461010927465,5368.585161418054,0.6983372960937497
EI,1,9,-0.5103332708254367,"{'0': 155.26601911399632, '1': 68.27769255869579, '2': 68.18816245308504}",291.73187412577715,5581.5163022164925,0.6302494097246091
EI,4,9,1.4936114133032419,"{'0': 143.49682903752407, '1': 75.59721991139514, '2': 65.70096882746105}",284.7950177763803,5452.013023763512,0.6302494097246091
EIPU,4,2,-5.250181599959676,"{'0': 141.8974411889443, '1': 79.97260032529053, '2': 50.32546501292039}",272.1955065271552,3423.990841661156,0.9025
EI,2,9,-0.7472376070012751,"{'0': 175.7109309277397, '1': 52.36069984455622, '2': 73.89744575262077}",301.96907652491666,5687.819602797286,0.6302494097246091
EIPU,1,3,-2.032430298844303,"{'0': 155.2660191773078, '1': 77.85907775102382, '2': 58.248537212074375}",291.373634140406,3837.882340594295,0.8573749999999999
EI,3,11,-0.49296012228646974,"{'0': 158.81993947172737, '1': 93.56884438159248, '2': 68.29792844946279}",320.68671230278267,6587.406661943238,0.5688000922764596
EI,4,10,1.4936114133032419,"{'0': 150.41002663942908, '1': 82.18737895093278, '2': 65.70096882746105}",298.2983744178229,5750.311398181335,0.5987369392383786
EIPU-MEMO,5,2,-2.3667177503411727,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 54.590648724734564}",54.790648727714796,3350.5779007318274,0.9025
EI,5,8,0.8588295925809741,"{'0': 170.110010309203, '1': 91.46190854190453, '2': 55.725476327491464}",317.297395178599,5685.882556596653,0.6634204312890623
EI,2,10,-0.3783248469497471,"{'0': 175.59186094566303, '1': 43.07119676989278, '2': 72.77014664923918}",291.43320436479496,5979.252807162081,0.5987369392383786
EEIPU,3,3,-2.583392833608593,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 52.51555147511475}",52.71555147809498,3487.9752868154087,0.8573749999999999
EEIPU,5,2,-2.6198493192397807,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 55.69323860800683}",55.89323861098706,3353.357899915074,0.9025
EI,3,12,0.45313943628552633,"{'0': 158.82025488370516, '1': 90.36964112631026, '2': 73.35170556035348}",322.5416015703689,6909.948263513606,0.5403600876626365
EEIPU,4,2,-5.250181599959676,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.33234015844582}",50.53234016142605,3212.926501052798,0.9025
EIPU,3,5,-0.061698871149519,"{'0': 173.5069269029268, '1': 57.25338885700518, '2': 45.61695978022158}",276.37727554015356,4587.296936551578,0.7737809374999999
EIPU-MEMO,3,3,-2.583392833608593,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 59.72259774187414}",59.92259774485437,3491.1758636902696,0.8573749999999999
EI,4,11,1.713298159633224,"{'0': 159.49169377303082, '1': 77.5723263358536, '2': 65.70096882746105}",302.7649889363455,6053.0763871176805,0.5688000922764596
EI,1,10,-0.5103332708254367,"{'0': 155.26601917799582, '1': 72.50527716087815, '2': 67.86972927560795}",295.6410256144819,5877.157327830974,0.5987369392383786
EI,5,9,0.8588295925809741,"{'0': 169.00864731830285, '1': 85.99388032654466, '2': 78.4950197282351}",333.4975473730826,6019.3801039697355,0.6302494097246091
EIPU-MEMO,2,2,-0.7787652369786522,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 63.136661383737255}",63.33666138671749,3361.5347010296473,0.9025
EI,3,13,0.45313943628552633,"{'0': 146.61652818217925, '1': 91.3704550016513, '2': 75.20650107143865}",313.1934842552692,7223.141747768876,0.5133420832795047
EIPU-MEMO,4,2,-5.250181599959676,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.42529473993689}",50.62529474291712,3202.420629876918,0.9025
EI,2,11,-0.3783248469497471,"{'0': 177.83283228275855, '1': 56.3063068860088, '2': 78.59318670100106}",312.7323258697684,6291.985133031849,0.5688000922764596
EI,4,12,2.602209109860164,"{'0': 157.77623261843456, '1': 83.27465605014748, '2': 65.70096882746105}",306.7518574960431,6359.828244613724,0.5403600876626365
EIPU,2,3,-2.0238098167411653,"{'0': 179.9823364615687, '1': 46.37250370037947, '2': 63.13666138373773}",289.4915015456859,3875.5827927561218,0.8573749999999999
EI,3,14,0.45313943628552633,"{'0': 158.8203372338823, '1': 89.31785168892642, '2': 76.67451563906414}",324.81270456187286,7547.954452330749,0.48767497911552943
EI,5,10,0.9180514185658264,"{'0': 173.42796256511275, '1': 87.29728532349878, '2': 69.15700436661983}",329.8822522552314,6349.262356224966,0.5987369392383786
EI,1,11,0.744390121917683,"{'0': 158.0704686898901, '1': 65.3920316775652, '2': 74.70508582425376}",298.16758619170906,6175.3249140226835,0.5688000922764596
EEIPU,1,3,-2.032430298844303,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 86.67352716601549}",86.87352716899572,3382.399142308223,0.8573749999999999
EI,2,12,-0.3783248469497471,"{'0': 171.45567623543937, '1': 45.64154031206269, '2': 79.07996501827716}",296.1771815657792,6588.162314597628,0.5403600876626365
EIPU,5,3,-0.8638881660423752,"{'0': 166.05035889788672, '1': 85.2823751413799, '2': 64.65902930967655}",315.9917633489432,3955.782130712208,0.8573749999999999
EI,3,15,0.45313943628552633,"{'0': 158.8203358105248, '1': 92.96694647790807, '2': 75.2050268088416}",326.9923090972745,7874.946761428023,0.46329123015975293
EI,4,13,2.602209109860164,"{'0': 158.89948320105813, '1': 72.11286144785484, '2': 65.70096882746105}",296.713313476374,6656.541558090098,0.5133420832795047
EIPU,4,3,-5.250181599959676,"{'0': 141.53367433550235, '1': 77.11177378154028, '2': 50.579915569507904}",269.2253636865505,3693.216205347707,0.8573749999999999
EIPU-MEMO,1,3,-2.032430298844303,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 80.20250924956918}",80.40250925254941,3368.350455237556,0.8573749999999999
EIPU,3,6,-0.061698871149519,"{'0': 179.94147739696126, '1': 73.57160935846017, '2': 52.77659086358038}",306.2896776190018,4893.58661417058,0.7350918906249998
EI,1,12,0.744390121917683,"{'0': 165.11224987502197, '1': 65.14360372561438, '2': 66.04309800393074}",296.2989516045671,6471.623865627251,0.5403600876626365
EI,2,13,-0.37553653864220815,"{'0': 175.20462158124562, '1': 47.41578099592097, '2': 77.50023258125307}",300.12063515841965,6888.282949756048,0.5133420832795047
EEIPU,2,3,-0.24714235469727253,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 67.97644094014314}",68.17644094312337,3434.157399458589,0.8573749999999999
EI,3,16,0.45313943628552633,"{'0': 158.81907308961075, '1': 81.6298806152582, '2': 74.21953351138026}",314.6684872162492,8189.6152486442725,0.44012666865176525
EI,5,11,1.406070692373718,"{'0': 172.9599494426035, '1': 89.201362417134, '2': 73.12204293912824}",335.28335479886573,6684.545711023832,0.5688000922764596
EI,4,14,2.6357839546128403,"{'0': 152.9979758558415, '1': 79.62476076531482, '2': 65.70096882746105}",298.3237054486174,6954.865263538715,0.48767497911552943
EIPU,1,4,-1.4507682735020504,"{'0': 155.2660191392815, '1': 72.37384156558296, '2': 62.65183963435931}",290.2917003392238,4128.174040933519,0.8145062499999999
EI,2,14,-0.37553653864220815,"{'0': 172.29225891503205, '1': 48.98631769949781, '2': 63.13666138370942}",284.41523799823926,7172.698187754288,0.48767497911552943
EI,3,17,0.45313943628552633,"{'0': 179.98562274474193, '1': 67.11231819716278, '2': 54.654162793837976}",301.7521037357427,8491.367352380015,0.41812033521917696
EI,5,12,1.406070692373718,"{'0': 172.3590947322694, '1': 78.06816397985318, '2': 67.31083297734094}",317.73809168946354,7002.283802713296,0.5403600876626365
EI,1,13,0.744390121917683,"{'0': 159.41409281793077, '1': 64.75211470084693, '2': 78.82693734508229}",302.99314486386,6774.617010491111,0.5133420832795047
EEIPU,4,3,-5.250181599959676,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 56.48334694234953}",56.68334694532976,3269.609847998128,0.8573749999999999
EI,4,15,2.6357839546128403,"{'0': 161.19815377661138, '1': 85.99559569221367, '2': 65.70096882746105}",312.8947182962861,7267.759981835001,0.46329123015975293
EI,2,15,-0.37553653864220815,"{'0': 178.4374789534487, '1': 44.18967837114799, '2': 65.2109886180004}",287.83814594259707,7460.536333696885,0.46329123015975293
EIPU,2,4,-2.0238098167411653,"{'0': 179.9783538602602, '1': 48.819457910880224, '2': 63.136661196524706}",291.93447296766516,4167.517265723787,0.8145062499999999
EI,3,18,0.45313943628552633,"{'0': 179.9859198216968, '1': 82.48234579524286, '2': 58.00258516643457}",320.47085078337426,8811.83820316339,0.3972143184582181
EEIPU,3,4,-2.583392833608593,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.69574235554283}",50.895742358523066,3538.8710291739317,0.8145062499999999
EIPU,3,7,-0.061698871149519,"{'0': 171.03377006251887, '1': 72.74358627750289, '2': 65.37023989730814}",309.1475962373299,5202.73421040791,0.6983372960937497
EEIPU,5,3,-2.556762582897174,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 56.23945618921204}",56.439456192192274,3409.7973561072663,0.8573749999999999
EI,3,19,0.45313943628552633,"{'0': 179.98534910358745, '1': 70.26093990789174, '2': 63.106464009392546}",313.3527530208717,9125.190956184262,0.37735360253530714
EI,5,13,1.406070692373718,"{'0': 161.49508807037398, '1': 89.02875119066277, '2': 69.69595710857638}",320.21979636961316,7322.503599082909,0.5133420832795047
EI,1,14,0.744390121917683,"{'0': 157.90017841127442, '1': 63.922301377196945, '2': 77.37086801887205}",299.1933478073434,7073.810358298454,0.48767497911552943
EIPU,4,4,-5.250181599959676,"{'0': 144.1340046968083, '1': 83.19013616830219, '2': 50.17884251110277}",277.50298337621325,3970.71918872392,0.8145062499999999
EI,2,16,-0.14610204568776364,"{'0': 177.30428572154446, '1': 47.5478413261021, '2': 70.69475412379194}",295.5468811714385,7756.083214868323,0.44012666865176525
EI,4,16,2.6357839546128403,"{'0': 154.90831182156342, '1': 80.96475874438434, '2': 65.70096882746105}",301.57403939340884,7569.334021228409,0.44012666865176525
EIPU,5,4,-0.4802179841016983,"{'0': 156.7864101580634, '1': 80.71904331601614, '2': 67.7806598265587}",305.28611330063825,4261.068244012847,0.8145062499999999
EIPU-MEMO,4,3,-2.59733255985536,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 62.893496758776884}",63.093496761757116,3265.5141266386754,0.8573749999999999
EI,3,20,0.45313943628552633,"{'0': 179.9855807622824, '1': 76.51901629940849, '2': 61.00273814971439}",317.5073352114053,9442.698291395667,0.35848592240854177
EIPU-MEMO,5,3,-2.3667177503411727,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 53.01384713262165}",53.21384713560188,3403.7917478674294,0.8573749999999999
EI,2,17,0.3996409405705945,"{'0': 165.23950847220652, '1': 44.82821975682671, '2': 73.496312938701}",283.5640411677342,8039.647256036057,0.41812033521917696
