acqf,trial,iteration,best_f,c_x,sum_c_x,cum_costs,eta
EI,3,8,-1.9232051004279072,"{'0': 135.53204990503832, '1': 76.74722392412988, '2': 50.78735150490272}",263.0666253340709,5331.086601715778,0.6634204312890623
EI,5,5,-1.2679523551102305,"{'0': 138.44738807980485, '1': 93.56304245423419, '2': 77.04027752569613}",309.05070805973514,4398.346521958256,0.7737809374999999
EEIPU,1,2,-5.574546903012865,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 86.89576864796578}",87.09576865094601,3596.7349051639067,0.9025
EI,1,7,-0.596113882773557,"{'0': 126.93805821661479, '1': 64.82434454278334, '2': 76.10891322145338}",267.8713159808515,5107.131797611232,0.6983372960937497
EI,4,8,-3.343575949366059,"{'0': 123.29739186245934, '1': 70.98949406834126, '2': 83.98124204611969}",278.26812797692025,5118.000348160494,0.6634204312890623
EI,5,6,-1.2679523551102305,"{'0': 147.9844612374354, '1': 94.27419736973228, '2': 89.88166489083471}",332.1403234980024,4730.486845456258,0.7350918906249998
EI,3,9,-1.9232051004279072,"{'0': 130.86884265208033, '1': 61.56710202771291, '2': 55.081440870029994}",247.51738554982325,5578.603987265601,0.6302494097246091
EI,2,6,-1.6822147169760726,"{'0': 115.9583137442706, '1': 48.879424794143645, '2': 67.03700052143077}",231.874739059845,4193.961422355974,0.7350918906249998
EIPU,5,2,-2.572499859089758,"{'0': 136.1221731523073, '1': 88.70813626778566, '2': 84.77757559140917}",309.60788501150216,3482.769833393106,0.9025
EIPU-MEMO,1,2,-5.574546903012865,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.02105307101091}",50.22105307399114,3561.7496815064824,0.9025
EIPU,3,4,-1.4987214272693394,"{'0': 130.86470921501376, '1': 78.11610000392213, '2': 72.34304137939544}",281.3238505983313,4169.852272622909,0.8145062499999999
EEIPU,3,2,-2.4210472848218414,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 45.54946632595051}",45.749466328930744,3383.1530622507466,0.9025
EIPU,4,2,-7.843436180603995,"{'0': 127.07789075999335, '1': 76.5262583335517, '2': 50.96867762674037}",254.57282672028543,3419.0016068808172,0.9025
EI,5,7,1.0552015939111437,"{'0': 131.79056294297254, '1': 86.96030525990795, '2': 63.79913474886591}",282.5500029517464,5013.0368484080045,0.6983372960937497
EI,4,9,-3.243207124122738,"{'0': 124.48701124098675, '1': 69.12904008924481, '2': 83.98124204611969}",277.5972933763512,5395.597641536845,0.6302494097246091
EI,3,10,-1.9232051004279072,"{'0': 124.1630000665908, '1': 66.48976719946384, '2': 76.95187844158377}",267.6046457076384,5846.208632973239,0.5987369392383786
EI,2,7,-1.6822147169760726,"{'0': 115.40605911126917, '1': 48.19323059566747, '2': 82.40436359016573}",246.00365329710237,4439.965075653076,0.6983372960937497
EI,1,8,0.9776685349838179,"{'0': 126.97121989281601, '1': 66.39004002895561, '2': 73.64379865509252}",267.00505857686414,5374.136856188096,0.6634204312890623
EEIPU,4,2,-3.6528746369506235,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 89.72858961695816}",89.92858961993839,3287.7586283892206,0.9025
EIPU,2,2,-2.918586197645333,"{'0': 120.71160911052615, '1': 45.78121180906254, '2': 63.136661383721226}",229.6294823033099,3246.399184079479,0.9025
EIPU,1,3,-2.2733715598636377,"{'0': 127.1258938527998, '1': 66.37332605661129, '2': 81.79785483076603}",275.2970747401771,4028.091866242441,0.8573749999999999
EI,3,11,-1.9232051004279072,"{'0': 127.17231010613361, '1': 65.81544380680535, '2': 58.9025350533408}",251.89028896627974,6098.098921939519,0.5688000922764596
EEIPU,2,2,-1.3765589810594263,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 66.10248124531425}",66.30248124829448,3087.1620812890687,0.9025
EI,4,10,-3.243207124122738,"{'0': 123.22242002931614, '1': 69.00502982377432, '2': 89.90019299396721}",282.1276428470577,5677.725284383902,0.5987369392383786
EI,5,8,1.0552015939111437,"{'0': 135.21594250415615, '1': 91.13426502553568, '2': 54.25808152831935}",280.60828905801117,5293.6451374660155,0.6634204312890623
EI,2,8,-1.1957640513749817,"{'0': 125.04167145067696, '1': 51.98732578667868, '2': 66.57023723217901}",243.59923446953465,4683.5643101226115,0.6634204312890623
EIPU,3,5,-1.4987214272693394,"{'0': 134.72192096743854, '1': 64.79238581820283, '2': 85.8495281298932}",285.36383491553454,4455.216107538444,0.7737809374999999
EI,1,9,0.9776685349838179,"{'0': 126.98657221974909, '1': 71.19769977808843, '2': 73.23456963966217}",271.41884163749967,5645.555697825596,0.6302494097246091
EIPU-MEMO,5,2,-2.572499859089758,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 55.276661046519095}",55.47666104949933,3228.6386094311033,0.9025
EIPU-MEMO,4,2,-7.843436180603995,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.91645740689486}",51.11645740987509,3215.545237570407,0.9025
EI,3,12,0.02197947647758336,"{'0': 135.37496908531546, '1': 68.43923880262443, '2': 59.19837912407538}",263.0125870120153,6361.111508951534,0.5403600876626365
EI,4,11,-3.243207124122738,"{'0': 123.51425331929619, '1': 73.23593016638944, '2': 83.98124204611969}",280.7314255318053,5958.4567099157075,0.5688000922764596
EEIPU,5,2,-2.389676074866742,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 57.007909531288405}",57.20790953426864,3232.127494714606,0.9025
EIPU,5,3,-0.9436811657373949,"{'0': 133.08557484702317, '1': 85.05850727128428, '2': 64.66677250309607}",282.8108546214035,3765.5806880145096,0.8573749999999999
EI,5,9,1.0552015939111437,"{'0': 135.69661608332999, '1': 83.98652388826969, '2': 78.26670307017758}",297.9498430417773,5591.594980507793,0.6302494097246091
EI,2,9,-0.693773699066782,"{'0': 121.05221026041917, '1': 48.85934207848926, '2': 71.39187753501872}",241.30342987392717,4924.867739996539,0.6302494097246091
EI,1,10,0.9776685349838179,"{'0': 127.04482554120452, '1': 67.7767447218433, '2': 73.27867314644149}",268.1002434094893,5913.655941235085,0.5987369392383786
EI,3,13,0.02197947647758336,"{'0': 135.96071104273, '1': 67.19317320188347, '2': 59.21743568288084}",262.3713199274943,6623.482828879029,0.5133420832795047
EI,4,12,-3.243207124122738,"{'0': 123.0934198606311, '1': 71.12174916976201, '2': 83.98124204611969}",278.1964110765128,6236.6531209922205,0.5403600876626365
EIPU,4,3,-7.843436180603995,"{'0': 126.86790762509298, '1': 74.72869215419195, '2': 50.03277391080748}",251.6293736900924,3670.6309805709097,0.8573749999999999
EIPU-MEMO,2,2,-1.5549541967976404,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 63.46743809795706}",63.66743810093729,3080.4371398771063,0.9025
EI,2,10,-0.693773699066782,"{'0': 118.52445622082277, '1': 56.57793086254861, '2': 76.78039707568942}",251.8827841590608,5176.7505241556,0.5987369392383786
EIPU-MEMO,3,3,-5.0414864784340265,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 54.244296797579686}",54.44429680055992,3418.5423394109516,0.8573749999999999
EI,5,10,1.2073436656271612,"{'0': 132.8475345122219, '1': 85.98153272817319, '2': 69.06434094163306}",287.89340818202817,5879.488388689821,0.5987369392383786
EI,4,13,-3.243207124122738,"{'0': 124.35201295065895, '1': 68.72029579696019, '2': 83.98124204611969}",277.05355079373885,6513.70667178596,0.5133420832795047
EEIPU,3,3,-2.4210472848218414,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 70.05301880928623}",70.25301881226646,3453.406081063013,0.8573749999999999
EIPU,3,6,-1.4987214272693394,"{'0': 137.70389545309945, '1': 75.65476477404127, '2': 61.862957187106076}",275.2216174142468,4730.437724952691,0.7350918906249998
EI,3,14,0.02197947647758336,"{'0': 133.74700028726932, '1': 73.12578206775626, '2': 59.28450081596115}",266.1572831709867,6889.640112050015,0.48767497911552943
EI,1,11,0.9776685349838179,"{'0': 126.67671914771523, '1': 68.69918261682334, '2': 70.38433677884035}",265.76023854337893,6179.4161797784645,0.5688000922764596
EIPU,1,4,-2.2733715598636377,"{'0': 127.1187650877215, '1': 64.58920266792059, '2': 87.61016016975763}",279.3181279253997,4307.4099941678405,0.8145062499999999
EI,4,14,-3.243207124122738,"{'0': 124.11114657436089, '1': 75.7313567720349, '2': 83.98124204611969}",283.8237453925155,6797.530417178476,0.48767497911552943
EI,2,11,-0.693773699066782,"{'0': 123.69949589722088, '1': 43.013230974545834, '2': 74.27923415397088}",240.99196102573762,5417.7424851813375,0.5688000922764596
EIPU,2,3,-2.918586197645333,"{'0': 120.89681249793227, '1': 49.400768522266205, '2': 63.13666138373762}",233.4342424039361,3479.8334264834148,0.8573749999999999
EI,3,15,0.02197947647758336,"{'0': 146.17508163571, '1': 68.06896036849028, '2': 61.98527998398382}",276.2293219881841,7165.869434038199,0.46329123015975293
EEIPU,1,3,-5.574546903012865,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.14242473210689}",50.34242473508712,3647.077329898994,0.8573749999999999
EI,1,12,1.8834423483992673,"{'0': 126.67356184143821, '1': 66.48948415036426, '2': 66.90334423737082}",260.0663902291733,6439.482570007638,0.5403600876626365
EI,5,11,2.198907666147575,"{'0': 128.25225784099138, '1': 88.41327903999613, '2': 71.33923337019417}",288.00477025118164,6167.493158941003,0.5688000922764596
EI,4,15,-3.243207124122738,"{'0': 124.70895121277155, '1': 70.5277475339728, '2': 83.98124204611969}",279.21794079286406,7076.74835797134,0.46329123015975293
EI,2,12,-0.693773699066782,"{'0': 122.61166190565193, '1': 44.659824542720216, '2': 75.15074339345048}",242.42222984182263,5660.16471502316,0.5403600876626365
EEIPU,4,3,-3.6528746369506235,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 83.98124204611969}",84.18124204909992,3371.9398704383207,0.8573749999999999
EEIPU,2,3,-1.3765589810594263,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 72.09550828571507}",72.2955082886953,3159.457589577764,0.8573749999999999
EI,3,16,0.02197947647758336,"{'0': 139.41139707506852, '1': 67.61765921029927, '2': 60.2045962873421}",267.2336525727099,7433.103086610909,0.44012666865176525
EIPU,5,4,-0.9436811657373949,"{'0': 134.20422349748682, '1': 78.12165708073282, '2': 67.11724019872683}",279.4431207769465,4045.0238087914563,0.8145062499999999
EIPU,3,7,-1.4987214272693394,"{'0': 124.44389118372823, '1': 79.88641246644904, '2': 72.5603193304566}",276.89062298063385,5007.328347933324,0.6983372960937497
EI,4,16,-3.243207124122738,"{'0': 120.94239585601862, '1': 67.60640311513957, '2': 83.98124204611969}",272.5300410172779,7349.2783989886175,0.44012666865176525
EI,1,13,2.106954625093653,"{'0': 129.70669166742792, '1': 66.70638954221455, '2': 69.97136558517546}",266.38444679481796,6705.867016802456,0.5133420832795047
EI,5,12,2.198907666147575,"{'0': 128.18489271088754, '1': 89.93939927799062, '2': 66.99520440065106}",285.1194963895292,6452.612655330532,0.5403600876626365
EI,2,13,-0.693773699066782,"{'0': 121.8374185048612, '1': 47.991233054450646, '2': 72.07944676221567}",241.90809832152752,5902.072813344687,0.5133420832795047
EEIPU,3,4,-2.4210472848218414,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 86.48309087923619}",86.68309088221642,3540.0891719452293,0.8145062499999999
EI,3,17,1.3673595717997404,"{'0': 135.53483716030263, '1': 69.56587998444803, '2': 60.82778407296224}",265.9285012177129,7699.031587828622,0.41812033521917696
EIPU-MEMO,4,3,-4.168515377509426,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 61.93276723628338}",62.132767239263615,3277.6780048096707,0.8573749999999999
EIPU,4,4,-7.843436180603995,"{'0': 126.37093193181568, '1': 74.29901725142005, '2': 50.16964794129151}",250.83959712452724,3921.470577695437,0.8145062499999999
EI,4,17,-3.243207124122738,"{'0': 125.35223787408175, '1': 71.82241522509887, '2': 83.98124204611958}",281.1558951453002,7630.434294133917,0.41812033521917696
EIPU-MEMO,5,3,-2.572499859089758,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 52.71917844984409}",52.91917845282432,3281.5577878839276,0.8573749999999999
EEIPU,5,3,-2.389676074866742,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 54.945766655373106}",55.14576665835334,3287.2732613729595,0.8573749999999999
EI,2,14,-0.693773699066782,"{'0': 121.5445759677718, '1': 43.6009396684339, '2': 63.13666138373779}",228.2821770199435,6130.354990364631,0.48767497911552943
EI,1,14,2.106954625093653,"{'0': 127.62656782778936, '1': 67.41323826359243, '2': 69.46229235330195}",264.5020984446837,6970.36911524714,0.48767497911552943
EI,5,13,2.198907666147575,"{'0': 127.02478714114241, '1': 76.82422015107905, '2': 70.87864868674662}",274.7276559789681,6727.3403113095,0.5133420832795047
EI,4,18,-3.243207124122738,"{'0': 127.88378442379948, '1': 71.04241986957152, '2': 83.98124204611969}",282.90744633949066,7913.341740473408,0.3972143184582181
EI,2,15,-0.6672980696193034,"{'0': 123.86178090910778, '1': 45.63376001581519, '2': 74.57429475819902}",244.069835683122,6374.4248260477525,0.46329123015975293
EIPU,3,8,-1.4987214272693394,"{'0': 131.74369387656026, '1': 77.36325562892108, '2': 81.29894923659108}",290.4058987420724,5297.734246675396,0.6634204312890623
EI,3,18,1.3673595717997404,"{'0': 128.139942331174, '1': 72.74062548698453, '2': 63.980716222010976}",264.8612840401695,7963.892871868791,0.3972143184582181
EIPU-MEMO,3,4,-5.0414864784340265,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 86.9069552013065}",87.10695520428673,3505.6492946152384,0.8145062499999999
EI,1,15,2.106954625093653,"{'0': 128.26324449278786, '1': 68.76254441987227, '2': 75.08239372892461}",272.10818264158473,7242.477297888725,0.46329123015975293
EIPU,2,4,-2.918586197645333,"{'0': 121.78034702280789, '1': 49.616324646216846, '2': 63.13666107023744}",234.53333273926216,3714.366759222677,0.8145062499999999
EEIPU,1,4,-5.574546903012865,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 50.91046830217017}",51.110468305150405,3698.187798204144,0.8145062499999999
EI,3,19,1.3673595717997404,"{'0': 145.00871811678041, '1': 72.13276806406887, '2': 57.448875321166426}",274.5903615020157,8238.483233370807,0.37735360253530714
EIPU-MEMO,1,3,-4.039505745237198,"{'0': 0.10000000149011612, '1': 0.10000000149011612, '2': 81.24346063240695}",81.44346063538718,3643.1931421418694,0.8573749999999999
